sample_index,avg_pixel_intensity,label_byte_0,label_byte_1,label_byte_2,label_byte_3,label_byte_4,label_byte_5,label_byte_6,label_byte_7,label_byte_8,label_byte_9,label_byte_10,label_byte_11,label_byte_12,label_byte_13,label_byte_14,label_byte_15
0,221.39453125,3,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1
1,144.717041015625,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3
2,165.52587890625,3,2,3,3,3,3,3,2,3,3,3,3,2,3,3,2
3,117.7236328125,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,2
4,180.432373046875,2,2,3,3,3,2,3,2,3,2,2,3,3,3,3,3
5,142.618408203125,2,2,3,3,2,3,2,2,3,3,3,2,2,3,3,2
6,96.5673828125,2,3,1,1,3,3,1,1,3,3,3,3,3,3,2,3
7,177.14599609375,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,1
8,193.959716796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,194.39306640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,192.364013671875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,189.725341796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,214.397705078125,1,1,3,2,1,1,3,2,1,1,3,3,1,1,3,3
13,161.718017578125,3,3,1,1,3,3,1,1,2,3,3,3,2,3,3,3
14,175.512939453125,2,3,3,3,2,3,2,3,2,3,2,2,2,3,2,3
15,92.254638671875,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3
16,162.607666015625,3,2,3,2,3,3,3,3,3,3,2,3,3,3,2,3
17,167.58056640625,3,3,3,2,2,3,2,2,2,3,2,2,3,3,3,3
18,129.25634765625,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3
19,195.909912109375,3,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1
20,198.593505859375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,201.843017578125,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2
22,195.434814453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,196.452392578125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,220.503173828125,1,1,3,3,1,1,2,3,1,1,2,3,1,1,2,3
25,202.5400390625,3,2,1,1,2,3,1,1,3,3,1,1,3,3,1,1
26,188.897216796875,1,1,2,2,1,1,2,2,2,2,3,2,2,3,2,2
27,134.761962890625,3,3,2,2,3,3,3,2,3,3,2,3,2,3,3,2
28,183.055419921875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
29,233.491943359375,2,2,3,3,2,2,3,3,3,3,3,2,3,3,2,2
30,204.85595703125,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3
31,201.825439453125,2,2,1,1,3,3,1,1,2,3,3,3,2,2,2,3
32,206.544921875,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2
33,205.177734375,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2
34,206.007568359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,205.759521484375,1,1,2,2,1,1,2,3,2,2,1,1,2,2,1,1
36,202.04296875,1,1,2,3,1,1,2,3,1,1,1,1,1,1,1,1
37,218.24658203125,2,2,1,1,2,3,1,1,2,3,1,1,3,3,1,1
38,214.198974609375,2,3,2,3,2,3,2,2,3,3,2,2,2,2,2,2
39,182.543701171875,1,1,2,3,1,1,2,3,3,3,3,2,3,3,3,2
40,217.38427734375,3,3,3,3,2,3,3,3,2,2,3,3,2,2,3,3
41,217.7294921875,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
42,229.240966796875,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,129.0205078125,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,2
44,135.1337890625,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3
45,181.553466796875,2,2,1,1,3,3,1,1,3,3,3,3,3,3,3,2
46,191.8466796875,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2
47,192.987060546875,2,2,2,3,2,3,3,3,3,3,1,1,3,3,1,1
48,195.44140625,1,1,2,2,1,1,2,3,1,1,2,3,1,1,2,3
49,227.60986328125,2,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3
